entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
criterion:9158,when,date,2026-05-19,WHEN|date|2026-05-19,web_declaration_v1,1.0.0
criterion:9158,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9161,when,date,2026-05-19,WHEN|date|2026-05-19,web_declaration_v1,1.0.0
criterion:9161,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9160,when,date,2026-05-19,WHEN|date|2026-05-19,web_declaration_v1,1.0.0
criterion:9160,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9155,when,date,2026-05-14,WHEN|date|2026-05-14,web_declaration_v1,1.0.0
criterion:9155,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9154,when,date,2026-05-12,WHEN|date|2026-05-12,web_declaration_v1,1.0.0
criterion:9154,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9143,when,date,2026-04-29,WHEN|date|2026-04-29,web_declaration_v1,1.0.0
criterion:9143,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9142,when,date,2026-04-28,WHEN|date|2026-04-28,web_declaration_v1,1.0.0
criterion:9142,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9140,when,date,2026-04-28,WHEN|date|2026-04-28,web_declaration_v1,1.0.0
criterion:9140,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9137,when,date,2026-04-27,WHEN|date|2026-04-27,web_declaration_v1,1.0.0
criterion:9137,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9130,when,date,2026-04-22,WHEN|date|2026-04-22,web_declaration_v1,1.0.0
criterion:9130,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9121,when,date,2026-04-21,WHEN|date|2026-04-21,web_declaration_v1,1.0.0
criterion:9121,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9132,when,date,2026-04-21,WHEN|date|2026-04-21,web_declaration_v1,1.0.0
criterion:9132,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9129,when,date,2026-04-17,WHEN|date|2026-04-17,web_declaration_v1,1.0.0
criterion:9129,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9126,when,date,2026-04-16,WHEN|date|2026-04-16,web_declaration_v1,1.0.0
criterion:9126,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9123,when,date,2026-04-14,WHEN|date|2026-04-14,web_declaration_v1,1.0.0
criterion:9123,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9124,when,date,2026-04-14,WHEN|date|2026-04-14,web_declaration_v1,1.0.0
criterion:9124,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9111,when,date,2026-03-31,WHEN|date|2026-03-31,web_declaration_v1,1.0.0
criterion:9111,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9106,when,date,2026-03-31,WHEN|date|2026-03-31,web_declaration_v1,1.0.0
criterion:9106,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9098,when,date,2026-03-30,WHEN|date|2026-03-30,web_declaration_v1,1.0.0
criterion:9098,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
criterion:9105,when,date,2026-03-27,WHEN|date|2026-03-27,web_declaration_v1,1.0.0
criterion:9105,when,year,2026,WHEN|year|2026,web_declaration_v1,1.0.0
