entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
criterion:9158,who,creator,David Schwartz,WHO|creator|David Schwartz,web_declaration_v1,1.0.0
criterion:9158,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9161,who,creator,Mindy Seu,WHO|creator|Mindy Seu,web_declaration_v1,1.0.0
criterion:9161,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9160,who,creator,Megan Abbott,WHO|creator|Megan Abbott,web_declaration_v1,1.0.0
criterion:9160,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9155,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9154,who,creator,Michael Koresky,WHO|creator|Michael Koresky,web_declaration_v1,1.0.0
criterion:9154,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9143,who,creator,Michael Atkinson,WHO|creator|Michael Atkinson,web_declaration_v1,1.0.0
criterion:9143,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9142,who,creator,Julian Kimble,WHO|creator|Julian Kimble,web_declaration_v1,1.0.0
criterion:9142,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9140,who,creator,Imogen Sara Smith,WHO|creator|Imogen Sara Smith,web_declaration_v1,1.0.0
criterion:9140,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9137,who,creator,Imogen Sara Smith,WHO|creator|Imogen Sara Smith,web_declaration_v1,1.0.0
criterion:9137,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9130,who,creator,Beandrea July,WHO|creator|Beandrea July,web_declaration_v1,1.0.0
criterion:9130,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9121,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9132,who,creator,Geoff Dyer,WHO|creator|Geoff Dyer,web_declaration_v1,1.0.0
criterion:9132,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9129,who,creator,Max Read,WHO|creator|Max Read,web_declaration_v1,1.0.0
criterion:9129,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9126,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9123,who,creator,Farran Smith Nehme,WHO|creator|Farran Smith Nehme,web_declaration_v1,1.0.0
criterion:9123,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9124,who,creator,Bilge Ebiri,WHO|creator|Bilge Ebiri,web_declaration_v1,1.0.0
criterion:9124,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9111,who,creator,Lisa Morton,WHO|creator|Lisa Morton,web_declaration_v1,1.0.0
criterion:9111,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9106,who,creator,Carrie Rickey,WHO|creator|Carrie Rickey,web_declaration_v1,1.0.0
criterion:9106,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9098,who,creator,Robin D. G. Kelley,WHO|creator|Robin D. G. Kelley,web_declaration_v1,1.0.0
criterion:9098,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
criterion:9105,who,creator,Vadim Rizov,WHO|creator|Vadim Rizov,web_declaration_v1,1.0.0
criterion:9105,who,provider,Criterion Collection,WHO|provider|Criterion Collection,web_declaration_v1,1.0.0
