entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
feel_like_making_shrub:8894769633282015214,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:8894769633282015214,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:1188104290788010341,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:1188104290788010341,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:7984022336755567343,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:7984022336755567343,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:2280769082554763866,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:2280769082554763866,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
feel_like_making_shrub:3497448792677401950,who,provider,Feel Like Making Shrub,WHO|provider|Feel Like Making Shrub,web_declaration_v1,1.0.0
feel_like_making_shrub:3497448792677401950,who,creator,Alexander Kern,WHO|creator|Alexander Kern,web_declaration_v1,1.0.0
