entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
779c785edd5377e0c9b0024f3aefad84,how,source_url,https://digitalgallery.bgsu.edu/collections/item/33402,HOW|source_url|https://digitalgallery.bgsu.edu/collections/item/33402,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,how,thumbnail_url,https://digitalgallery.bgsu.edu/files/thumbnails/8d58166818951b4174f52bdc8ab77f73.jpg,HOW|thumbnail_url|https://digitalgallery.bgsu.edu/files/thumbnails/8d58166818951b4174f52bdc8ab77f73.jpg,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,how,rights_category,Unlimited Re-Use,HOW|rights_category|Unlimited Re-Use,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,how,source_url,https://digitalgallery.bgsu.edu/collections/item/33370,HOW|source_url|https://digitalgallery.bgsu.edu/collections/item/33370,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,how,thumbnail_url,https://digitalgallery.bgsu.edu/files/thumbnails/9d24a739eebefe857a6c800694b8a1ae.jpg,HOW|thumbnail_url|https://digitalgallery.bgsu.edu/files/thumbnails/9d24a739eebefe857a6c800694b8a1ae.jpg,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,how,rights_category,Unlimited Re-Use,HOW|rights_category|Unlimited Re-Use,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,how,source_url,http://www.moma.org/collection/works/86856,HOW|source_url|http://www.moma.org/collection/works/86856,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,how,thumbnail_url,http://www.moma.org/media/W1siZiIsIjE2OTE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea01195cf62af167,HOW|thumbnail_url|http://www.moma.org/media/W1siZiIsIjE2OTE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea01195cf62af167,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,how,rights_category,Unspecified Rights Status,HOW|rights_category|Unspecified Rights Status,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,how,source_url,http://www.moma.org/collection/works/7631,HOW|source_url|http://www.moma.org/collection/works/7631,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,how,thumbnail_url,http://www.moma.org/media/W1siZiIsIjE0MzgwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f31c6e4ec518ecf,HOW|thumbnail_url|http://www.moma.org/media/W1siZiIsIjE0MzgwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f31c6e4ec518ecf,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,how,rights_category,Unspecified Rights Status,HOW|rights_category|Unspecified Rights Status,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,how,source_url,http://catalog.hathitrust.org/Record/008004462,HOW|source_url|http://catalog.hathitrust.org/Record/008004462,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,how,thumbnail_url,https://books.google.com/books/content?id=7qYwAQAAIAAJ&printsec=frontcover&img=1&zoom=5,HOW|thumbnail_url|https://books.google.com/books/content?id=7qYwAQAAIAAJ&printsec=frontcover&img=1&zoom=5,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,how,rights_category,Unspecified Rights Status,HOW|rights_category|Unspecified Rights Status,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,how,source_url,https://calisphere.org/item/56394831-9370-4961-8b51-9588b4c6820c,HOW|source_url|https://calisphere.org/item/56394831-9370-4961-8b51-9588b4c6820c,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,how,thumbnail_url,https://thumbnails.calisphere.org/clip/150x150/955f3098f8bf3111402a83bfa6095fae,HOW|thumbnail_url|https://thumbnails.calisphere.org/clip/150x150/955f3098f8bf3111402a83bfa6095fae,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,how,rights_category,Unspecified Rights Status,HOW|rights_category|Unspecified Rights Status,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,how,metadata_model,DPLA MAP,HOW|metadata_model|DPLA MAP,web_declaration_v1,1.0.0
