entity_id,nucleus,label,sublabel,lens_id,translator_version
779c785edd5377e0c9b0024f3aefad84,779c785edd5377e0c9b0024f3aefad84,Jazz Week: Vocal Jazz,Ohio Digital Network · 2016-03-15,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,7441a526a5eb5afcfe6c6914cff55f5b,Jazz Week: Jazz Faculty,Ohio Digital Network · 2016-03-16,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,f023d71c14d5f830e88ca35eeff79e6d,Jazz,Empire State Digital Network · 2001,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,2aea8e4e263a205860d4f4c01d38b6fc,Jazz,Empire State Digital Network · c. 1950,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,53f8ea57abe8f96a901702b15a96f53e,Jazz,HathiTrust · [1963],web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,6c9f2a94b13a21671aa38828ea26856c,Jazz,California Digital Library · 1954,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,a237875fbe4fec1727b348bc8a7346c9,Jazz,Plains to Peaks Collective · 2020,web_declaration_v1,1.0.0
368519d53332295393c11a48d5e5c1ed,368519d53332295393c11a48d5e5c1ed,Jazz,Smithsonian Institution · 2002,web_declaration_v1,1.0.0
7cdace405b09a20df0fb99bbcb4dc107,7cdace405b09a20df0fb99bbcb4dc107,Jazz,Plains to Peaks Collective · 2000,web_declaration_v1,1.0.0
5554d79a36f10fcdef558fc1efa69c04,5554d79a36f10fcdef558fc1efa69c04,Jazz,Plains to Peaks Collective · 2008,web_declaration_v1,1.0.0
856f21d9ba761c3ec5074dc166aa68c7,856f21d9ba761c3ec5074dc166aa68c7,Jazz,Plains to Peaks Collective · 2023,web_declaration_v1,1.0.0
a0277d919a6dda83914624c795fad5cc,a0277d919a6dda83914624c795fad5cc,Jazz,Smithsonian Institution · 1989,web_declaration_v1,1.0.0
860fb09c982e6e8fb7289524a243e2df,860fb09c982e6e8fb7289524a243e2df,Jazz,Smithsonian Institution · 1990,web_declaration_v1,1.0.0
bbf7633bf5adbc2288b5bd48e266d052,bbf7633bf5adbc2288b5bd48e266d052,Jazz,Smithsonian Institution,web_declaration_v1,1.0.0
03b4ab2f021678adfcca8f2383172f40,03b4ab2f021678adfcca8f2383172f40,Jazz,Plains to Peaks Collective · 1998,web_declaration_v1,1.0.0
adecd51fc78ce402540646ab9c048894,adecd51fc78ce402540646ab9c048894,Jazz,Plains to Peaks Collective · 1994,web_declaration_v1,1.0.0
c1219286fb3f96cd24ae39eb468e6c95,c1219286fb3f96cd24ae39eb468e6c95,Jazz,PA Digital · 1925-01-25,web_declaration_v1,1.0.0
0727af4ab9ccb917ed24976ee5787774,0727af4ab9ccb917ed24976ee5787774,Jazz on jazz. reel 3,PA Digital · 1983,web_declaration_v1,1.0.0
a400bb8626055252c99a5d260077ac3a,a400bb8626055252c99a5d260077ac3a,Jazz Week: Chamber Jazz Ensembles,Ohio Digital Network · 2016-03-18,web_declaration_v1,1.0.0
d15f9fb22605ef2e53f636e77f158b77,d15f9fb22605ef2e53f636e77f158b77,Jazz Week: Chamber Jazz Ensembles,Ohio Digital Network · 3/30/2017,web_declaration_v1,1.0.0
