entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
779c785edd5377e0c9b0024f3aefad84,what,title,Jazz Week: Vocal Jazz,WHAT|title|Jazz Week: Vocal Jazz,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,what,type,text,WHAT|type|text,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,what,title,Jazz Week: Jazz Faculty,WHAT|title|Jazz Week: Jazz Faculty,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,what,type,text,WHAT|type|text,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,what,title,Jazz,WHAT|title|Jazz,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,what,title,Jazz,WHAT|title|Jazz,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,what,title,Jazz,WHAT|title|Jazz,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,what,subject,Jazz--Discography,WHAT|subject|Jazz--Discography,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,what,subject,Jazz musicians,WHAT|subject|Jazz musicians,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,what,subject,Jazz,WHAT|subject|Jazz,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,what,type,text,WHAT|type|text,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,what,title,Jazz,WHAT|title|Jazz,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,what,subject,Jazz,WHAT|subject|Jazz,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,what,subject,Abstraction,WHAT|subject|Abstraction,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,what,type,image,WHAT|type|image,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,title,Jazz,WHAT|title|Jazz,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Shot glass,WHAT|subject|Shot glass,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Jazz,WHAT|subject|Jazz,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Bars (Drinking establishments)--Colorado--Denver,WHAT|subject|Bars (Drinking establishments)--Colorado--Denver,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Restaurants--Colorado--Denver,WHAT|subject|Restaurants--Colorado--Denver,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Liquor,WHAT|subject|Liquor,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Musician,WHAT|subject|Musician,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Saxophone,WHAT|subject|Saxophone,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,what,subject,Text,WHAT|subject|Text,web_declaration_v1,1.0.0
