entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
779c785edd5377e0c9b0024f3aefad84,when,date,2016-03-15,WHEN|date|2016-03-15,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,when,date,2016-03-16,WHEN|date|2016-03-16,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,when,date,2001,WHEN|date|2001,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,when,date,c. 1950,WHEN|date|c. 1950,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,when,date,[1963],WHEN|date|[1963],web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,when,date,1954,WHEN|date|1954,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,when,date,2020,WHEN|date|2020,web_declaration_v1,1.0.0
368519d53332295393c11a48d5e5c1ed,when,date,2002,WHEN|date|2002,web_declaration_v1,1.0.0
7cdace405b09a20df0fb99bbcb4dc107,when,date,2000,WHEN|date|2000,web_declaration_v1,1.0.0
5554d79a36f10fcdef558fc1efa69c04,when,date,2008,WHEN|date|2008,web_declaration_v1,1.0.0
856f21d9ba761c3ec5074dc166aa68c7,when,date,2023,WHEN|date|2023,web_declaration_v1,1.0.0
a0277d919a6dda83914624c795fad5cc,when,date,1989,WHEN|date|1989,web_declaration_v1,1.0.0
860fb09c982e6e8fb7289524a243e2df,when,date,1990,WHEN|date|1990,web_declaration_v1,1.0.0
03b4ab2f021678adfcca8f2383172f40,when,date,1998,WHEN|date|1998,web_declaration_v1,1.0.0
adecd51fc78ce402540646ab9c048894,when,date,1994,WHEN|date|1994,web_declaration_v1,1.0.0
c1219286fb3f96cd24ae39eb468e6c95,when,date,1925-01-25,WHEN|date|1925-01-25,web_declaration_v1,1.0.0
0727af4ab9ccb917ed24976ee5787774,when,date,1983,WHEN|date|1983,web_declaration_v1,1.0.0
0727af4ab9ccb917ed24976ee5787774,when,date,1983-04-08,WHEN|date|1983-04-08,web_declaration_v1,1.0.0
0727af4ab9ccb917ed24976ee5787774,when,date,[1983],WHEN|date|[1983],web_declaration_v1,1.0.0
a400bb8626055252c99a5d260077ac3a,when,date,2016-03-18,WHEN|date|2016-03-18,web_declaration_v1,1.0.0
d15f9fb22605ef2e53f636e77f158b77,when,date,3/30/2017,WHEN|date|3/30/2017,web_declaration_v1,1.0.0
d2f7966d9d4a0baaed251cd34cd1b16b,when,date,1947,WHEN|date|1947,web_declaration_v1,1.0.0
79ace2f94353b4e7f49fe2335b361905,when,date,2016,WHEN|date|2016,web_declaration_v1,1.0.0
348d9dc4be7f8b0d4459886c6a102ba6,when,date,1971,WHEN|date|1971,web_declaration_v1,1.0.0
cf3fb6595409d19a0060f920ac5639a1,when,date,c. 1960,WHEN|date|c. 1960,web_declaration_v1,1.0.0
c6ef5cab785f4ffa17512c096c9bbe70,when,date,1988-04-13,WHEN|date|1988-04-13,web_declaration_v1,1.0.0
ld1-1646149545906-1646150510742-0,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
sro-1663946979444-1663946989955-0,when,date,2010s,WHEN|date|2010s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149727294-1,when,date,2010s,WHEN|date|2010s,web_declaration_v1,1.0.0
ld1-1686732332010-1686732332025-1,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149602686-1,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150217822-1,when,date,2010s,WHEN|date|2010s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149969363-0,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150255234-1,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150676285-0,when,date,1980s,WHEN|date|1980s,web_declaration_v1,1.0.0
ld1-1682428074342-1682428074671-0,when,date,2020s,WHEN|date|2020s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150956262-1,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149995397-1,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149884396-1,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1682428074342-1682428074663-0,when,date,2020s,WHEN|date|2020s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149571316-0,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150522405-0,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150524143-1,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1920s,WHEN|date|1920s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,2020s,WHEN|date|2020s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1910s,WHEN|date|1910s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1940s,WHEN|date|1940s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1930s,WHEN|date|1930s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1900s,WHEN|date|1900s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1990s,WHEN|date|1990s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1950s,WHEN|date|1950s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1980s,WHEN|date|1980s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150522341-0,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150114083-2,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149688165-1,when,date,2000s,WHEN|date|2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149719743-0,when,date,1950s,WHEN|date|1950s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149719743-0,when,date,1970s,WHEN|date|1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1920s,WHEN|date|1920s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1910s,WHEN|date|1910s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,2010s,WHEN|date|2010s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1940s,WHEN|date|1940s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1930s,WHEN|date|1930s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1900s,WHEN|date|1900s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1990s,WHEN|date|1990s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1960s,WHEN|date|1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1950s,WHEN|date|1950s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,when,date,1980s,WHEN|date|1980s,web_declaration_v1,1.0.0
